url,phone_numbers,social_media_links,addresses,error
http://highwayonerealestate.com,,"{'facebook': [], 'twitter': [], 'linkedin': [], 'instagram': [], 'youtube': []}",,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
http://minastollery.com,,"{'facebook': [], 'twitter': [], 'linkedin': [], 'instagram': ['https://www.instagram.com/electric_skillet'], 'youtube': []}",,
http://amwindowcleaning.org,,"{'facebook': [], 'twitter': [], 'linkedin': [], 'instagram': [], 'youtube': []}",,404 Client Error: Not Found for url: https://www.amwindowcleaning.org/
http://cincyscrubs.com,,"{'facebook': ['https://www.facebook.com/cincyscrubs'], 'twitter': [], 'linkedin': [], 'instagram': [], 'youtube': []}",4934 Provident Dr,
http://figlass.biz,845354631,"{'facebook': [], 'twitter': [], 'linkedin': [], 'instagram': [], 'youtube': []}",,
http://horizons.church,+14025125700,"{'facebook': ['https://www.facebook.com/HorizonsCommunityChurch', 'https://www.facebook.com/groups'], 'twitter': [], 'linkedin': [], 'instagram': ['https://www.instagram.com/horizons_community_church'], 'youtube': ['https://www.youtube.com/c/horizonscommunitychurch', 'https://www.youtube.com/c/Horizons-community-church', 'https://www.youtube.com/c/HorizonsCommunityChurch']}",,
http://mygoodhorse.weebly.com,,"{'facebook': ['https://www.facebook.com/pages'], 'twitter': [], 'linkedin': [], 'instagram': [], 'youtube': []}",,
http://wombatworks.org,,"{'facebook': ['https://www.facebook.com/wombatworksllc'], 'twitter': ['https://www.twitter.com/WombatWorks'], 'linkedin': [], 'instagram': [], 'youtube': []}",,
http://yourhairdynasty.com,,"{'facebook': ['https://www.facebook.com/yourhairdynasty'], 'twitter': ['https://www.twitter.com/yourhairdynasty'], 'linkedin': [], 'instagram': ['https://www.instagram.com/yourhairdynasty'], 'youtube': ['https://www.youtube.com/user/yourhairdynasty']}",,
http://alpha-research-associates-research-institute.business.site,,"{'facebook': [], 'twitter': [], 'linkedin': [], 'instagram': [], 'youtube': []}",,404 Client Error: Not Found for url: http://alpha-research-associates-research-institute.business.site/
http://annarborhomesrealtor.com,3137177788,"{'facebook': ['https://www.facebook.com/maurarains1'], 'twitter': [], 'linkedin': [], 'instagram': [], 'youtube': []}","3531 Burbank Drive; <a href=""/home-for-sale/3531-Burbank-Drive-Ann-Arbor-MI-48105/20250036781-MIRC"" class=""d-block"" title=""View property at 3531 Burbank Drive Ann Arbor, MI 48105"">; <a href=""/home-for-sale/122-Parsons-Lane-Saline-MI-48176/20251004776-MIRC"" class=""d-block"" title=""View property at 122 Parsons Lane Saline, MI 48176"">; 7373 Dell Road; 124 Parsons Lane; <a href=""/home-for-sale/7373-Dell-Road-Saline-MI-48176/25025843-MISWMRIC"" class=""d-block"" title=""View property at 7373 Dell Road Saline, MI 48176"">; 122 Parsons Lane; <a href=""/home-for-sale/124-Parsons-Lane-Saline-MI-48176/20251004816-MIRC"" class=""d-block"" title=""View property at 124 Parsons Lane Saline, MI 48176"">",
http://astepabovemb.com,,"{'facebook': ['https://www.facebook.com/A-Step-Above-Flooring-810287332403927'], 'twitter': ['https://www.twitter.com/AStepAboveMB'], 'linkedin': [], 'instagram': ['https://www.instagram.com/astepaboveflooring'], 'youtube': ['https://www.youtube.com/channel/UCfnhlL-4YRhTqg5w1GQ9Zkw']}","721 Sandy Ln Unit F • Myrtle Beach, SC 29575; 721 Sandy Ln. Unit F",
http://buchanan-edwards.online,,"{'facebook': [], 'twitter': [], 'linkedin': [], 'instagram': [], 'youtube': []}",,
http://busiup.com,,"{'facebook': [], 'twitter': [], 'linkedin': [], 'instagram': [], 'youtube': []}",,"HTTPConnectionPool(host='busiup.com', port=80): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x000001DF6B087DF0>: Failed to resolve 'busiup.com' ([Errno 11001] getaddrinfo failed)""))"
http://clockinc.org,,"{'facebook': ['https://www.facebook.com/designs.chasing', 'https://www.facebook.com/clock.inc.qc'], 'twitter': ['https://www.twitter.com/clockincLGBT'], 'linkedin': ['https://www.linkedin.com/in/clockinc'], 'instagram': ['https://www.instagram.com/clockinclgbt'], 'youtube': []}",,
